descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
PHYSCHEM,GBM,CHEMBL219_Ki,0.9435,0.9496,0.9715,0.9798,1491,374,148
PHYSCHEM,KNN,CHEMBL219_Ki,0.9754,0.9701,0.9877,0.9853,1491,374,148
PHYSCHEM,SVM,CHEMBL228_Ki,0.9292,0.9297,0.8901,0.8905,1362,342,127
PHYSCHEM,RF,CHEMBL228_Ki,0.9233,0.9214,0.9197,0.9166,1362,342,127
PHYSCHEM,GBM,CHEMBL228_Ki,0.9211,0.9072,0.9262,0.9228,1362,342,127
PHYSCHEM,KNN,CHEMBL228_Ki,0.9772,0.9893,0.9437,0.9343,1362,342,127
PHYSCHEM,SVM,CHEMBL231_Ki,0.9768,0.9936,0.8834,0.8922,776,197,48
PHYSCHEM,RF,CHEMBL231_Ki,0.9429,0.9078,0.7627,0.7321,776,197,48
PHYSCHEM,GBM,CHEMBL231_Ki,0.9647,0.9531,0.7671,0.827,776,197,48
PHYSCHEM,KNN,CHEMBL231_Ki,1.0489,1.0454,0.9233,0.8996,776,197,48
PHYSCHEM,SVM,CHEMBL233_Ki,1.1659,1.1595,1.1337,1.1296,2512,630,259
PHYSCHEM,RF,CHEMBL233_Ki,1.0303,1.0193,1.0226,0.9963,2512,630,259
